entity1	entity2	left	middle	right	article
Amazon	Netflix	"
Other technology stocks in the FAANG group, Facebook, "	 and 	, also weighed on the Nasdaq.	620d7284c02377e1232d91c4
Qualcomm	LG	"
"	 has won radio frequency chip contracts with Samsung, Alphabet's Google and 	, among others.	620fa71cda65adfed100f7fe
LG	Qualcomm	"
Qualcomm has won radio frequency chip contracts with Samsung, Alphabet's Google and "	", among others.
Analysts said the EU investigation was unlikely to slow "	's progress in the radio frequency chip market.	620fa71cda65adfed100f7fe
Samsung	LG	"
Qualcomm has won radio frequency chip contracts with "	, Alphabet's Google and 	, among others.	620fa71cda65adfed100f7fe
Qualcomm	Qorvo	"
"	" has been trying to persuade phone makers to buy its radio frequency chips, together with its own modem chips, rather than selecting parts from separate vendors and integrating them.
Other major suppliers of radio frequency chips are Broadcom, Skyworks Solutions and "	.	620fa71cda65adfed100f7fe
Qorvo	Qualcomm	"
Other major suppliers of radio frequency chips are Broadcom, Skyworks Solutions and "	".
"	 executives said on Wednesday that revenue from the radio frequency market contributed to a sales forecast that beat analyst expectations.	620fa71cda65adfed100f7fe
Qualcomm	Samsung	"
"	 has won radio frequency chip contracts with 	, Alphabet's Google and LG, among others.	620fa71cda65adfed100f7fe
Samsung	Qualcomm	"
Qualcomm has won radio frequency chip contracts with "	", Alphabet's Google and LG, among others.
Analysts said the EU investigation was unlikely to slow "	's progress in the radio frequency chip market.	620fa71cda65adfed100f7fe
Intel	Samsung	The Commission had also fined Qualcomm 997 million euros during 2018 for paying iPhone maker Apple to use only its chips, a tactic aimed at thwarting rivals including 	" .
Qualcomm has won radio frequency chip contracts with "	, Alphabet's Google and LG, among others.	620fa71cda65adfed100f7fe
Intel	Alphabet	The Commission had also fined Qualcomm 997 million euros during 2018 for paying iPhone maker Apple to use only its chips, a tactic aimed at thwarting rivals including 	" .
Qualcomm has won radio frequency chip contracts with Samsung, "	 Google and LG, among others.	620fa71cda65adfed100f7fe
Qualcomm	Intel	The Commission had also fined 	 997 million euros during 2018 for paying iPhone maker Apple to use only its chips, a tactic aimed at thwarting rivals including 	 .	620fa71cda65adfed100f7fe
Intel	Qualcomm	The Commission had also fined Qualcomm 997 million euros during 2018 for paying iPhone maker Apple to use only its chips, a tactic aimed at thwarting rivals including 	" .
"	 has won radio frequency chip contracts with Samsung, Alphabet's Google and LG, among others.	620fa71cda65adfed100f7fe
Samsung	SK Hynix	"REUTERS/Kim Hong-Ji
The announcement sent "	's share price up 2.2% in morning trade, bucking the wider market's .KS11 0.8% fall, with cross-town chip rival 	 (000660.KS) also up over 5%.	620fa71cda65adfed100f800
SK Hynix	Samsung	"REUTERS/Kim Hong-Ji
The announcement sent Samsung's share price up 2.2% in morning trade, bucking the wider market's .KS11 0.8% fall, with cross-town chip rival "	" (000660.KS) also up over 5%.
"	, the world's biggest maker of memory chips, has seen earnings drop since late 2018 as a weak global economy curbed spending by data center customers while rising inventories squeezed prices, ending a two-year industry boom.	620fa71cda65adfed100f800
Samsung	Micron	Last month, 	's U.S. chip rival 	 (MU.O) forecast the industry to recover in 2020.	620fa71cda65adfed100f800
Micron	Samsung	Last month, Samsung's U.S. chip rival 	" (MU.O) forecast the industry to recover in 2020.
“The DRAM chip price has already hit bottom while inventories have been holding at lower levels - a potentially encouraging sign to pull up DRAM prices in the second quarter,” said analyst Park Sung-soon at Cape Investment & Securities.
"	 said it expected to report later this month a 34% drop in operating profit at 7.1 trillion won ($6.04 billion) for its fourth quarter ended Dec. 31 versus the same period a year earlier.	620fa71cda65adfed100f800
Samsung	Huawei	"
“"	's Q4 mobile shipments rose from last year as sales in LATAM, South Asia and Europe were more robust,” said analyst Tom Kang at market researcher Counterpoint. “This was partially from 	's overseas losses and Samsung's new A series,” he said, referring to Chinese rival Huawei which is tackling restricted access to U.S. suppliers.	620fa71cda65adfed100f800
Huawei	Samsung	“This was partially from 	's overseas losses and 	's new A series,” he said, referring to Chinese rival Huawei which is tackling restricted access to U.S. suppliers.	620fa71cda65adfed100f800
Samsung	Huawei	“This was partially from Huawei's overseas losses and 	's new A series,” he said, referring to Chinese rival 	 which is tackling restricted access to U.S. suppliers.	620fa71cda65adfed100f800
Huawei	Samsung	“This was partially from Huawei's overseas losses and Samsung's new A series,” he said, referring to Chinese rival 	" which is tackling restricted access to U.S. suppliers.
Premium smartphone sales also boosted earnings, Kang said.
"	 is expected to announce a new version of its flagship Galaxy S smartphone and a foldable handset on Feb. 11.	620fa71cda65adfed100f800
Samsung	Micron	Last month, 	's U.S. chip rival 	 (MU.O) forecast the industry to recover in 2020.	620fa71cda65adfed100f800
Micron	Samsung	Last month, Samsung's U.S. chip rival 	" (MU.O) forecast the industry to recover in 2020.
“The DRAM chip price has already hit bottom while inventories have been holding at lower levels - a potentially encouraging sign to pull up DRAM prices in the second quarter,” said analyst Park Sung-soon at Cape Investment & Securities.
"	 said it expected to report later this month a 34% drop in operating profit at 7.1 trillion won ($6.04 billion) for its fourth quarter ended Dec. 31 versus the same period a year earlier.	620fa71cda65adfed100f800
Intel	Texas Instruments	"
Eyes will be on U.S. corporate earnings with Netflix Inc, "	 and 	 set to report this week, while central banks in the European Union, Canada and Japan hold policy meetings.	620fa71cda65adfed100f801
Intel	Texas Instruments	"
Eyes will be on U.S. corporate earnings with Netflix Inc, "	 and 	 set to report this week, while central banks in the European Union, Canada and Japan hold policy meetings.	620fa71cda65adfed100f802
Intel	Texas Instruments	"
Eyes will be on U.S. corporate earnings with Netflix Inc, "	 and 	 set to report this week, while central banks in the European Union, Canada and Japan hold policy meetings.	620fa71cda65adfed100f803
Intel	Taiwan	"
"	"'s stock was up 8.6% at $68.75, a level it has not seen since the peak of the dotcom boom in 2000, propelling the broader Nasdaq .IXIC and the Philadelphia SE Semiconductor Index .SOX to record highs.
Other major chipmakers such as "	 (TSMC) (2330.TW) and Texas Instruments (TXN.O) have also given upbeat forecasts this month, cementing hopes of a rebound in the market that fell nearly 12% in 2019, according to research firm Gartner.	620fa71cda65adfed100f807
Taiwan	Intel	"
Other major chipmakers such as "	" (TSMC) (2330.TW) and Texas Instruments (TXN.O) have also given upbeat forecasts this month, cementing hopes of a rebound in the market that fell nearly 12% in 2019, according to research firm Gartner.
However, "	 has struggled with delays in its 10nm chip technology, losing its lead to rival TSMC in the race to supply to the “new data economy”, which includes 5G, autonomous vehicles and artificial intelligence.	620fa71cda65adfed100f807
Intel	ASML	“We think 	" is benefiting from an improving macro economic climate versus company specific improvements at this time,” RBC Capital Markets analyst Mitch Steves said, adding that he expects strong results from data center rivals AMD (AMD.O) and Nvidia (NVDA.O).
Shares of AMD, which will report earnings next week, rose 1% to a record high. Nvidia shares were also up 1%. European chipmakers "	 (ASML.AS) and STMicroelectricals NV (STM.N) rose almost 2%.	620fa71cda65adfed100f807
ASML	Intel	European chipmakers ASML (	") and STMicroelectricals NV (STM.N) rose almost 2%.
"	's stock was up 8.6% at $68.75, a level it has not seen since the peak of the dotcom boom in 2000, propelling the broader Nasdaq .IXIC and the Philadelphia SE Semiconductor Index .SOX to record highs.	620fa71cda65adfed100f807
Intel	ASML	“We think 	" is benefiting from an improving macro economic climate versus company specific improvements at this time,” RBC Capital Markets analyst Mitch Steves said, adding that he expects strong results from data center rivals AMD (AMD.O) and Nvidia (NVDA.O).
Shares of AMD, which will report earnings next week, rose 1% to a record high. Nvidia shares were also up 1%. European chipmakers "	 (ASML.AS) and STMicroelectricals NV (STM.N) rose almost 2%.	620fa71cda65adfed100f807
ASML	Intel	European chipmakers ASML (	") and STMicroelectricals NV (STM.N) rose almost 2%.
"	's stock was up 8.6% at $68.75, a level it has not seen since the peak of the dotcom boom in 2000, propelling the broader Nasdaq .IXIC and the Philadelphia SE Semiconductor Index .SOX to record highs.	620fa71cda65adfed100f807
ASML	Taiwan	European chipmakers ASML (	") and STMicroelectricals NV (STM.N) rose almost 2%.
Intel's stock was up 8.6% at $68.75, a level it has not seen since the peak of the dotcom boom in 2000, propelling the broader Nasdaq .IXIC and the Philadelphia SE Semiconductor Index .SOX to record highs.
Other major chipmakers such as "	 (TSMC) (2330.TW) and Texas Instruments (TXN.O) have also given upbeat forecasts this month, cementing hopes of a rebound in the market that fell nearly 12% in 2019, according to research firm Gartner.	620fa71cda65adfed100f807
HP	Samsung	"
"	, which separated from servers and networking equipment provider Hewlett-Packard Enterprise Inc (HPE.N) in 2015, has participated in this consolidation, acquiring 	's (005930.KS) printer business for $1.05 billion in 2017.	620fa71dda65adfed100f811
Samsung	HP	"
HP, which separated from servers and networking equipment provider Hewlett-Packard Enterprise Inc (HPE.N) in 2015, has participated in this consolidation, acquiring "	"'s (005930.KS) printer business for $1.05 billion in 2017.
"	 has been reluctant to engage in deal discussions with Xerox since November, when the latter launched its takeover campaign after reaching a settlement with Fujifilm Holdings Corp (4901.T) that resolved a legal dispute over their 57-year-old joint venture and a previous attempt to merge, yielding a $2.3 billion after-tax payoff for Xerox.	620fa71dda65adfed100f811
Renault	Volkswagen	"
In Hubei province where the outbreak began and a major car manufacturing hub responsible for nearly 9% of China's output, Dongfeng Motor Group Co Ltd (0489.HK) and its partners Honda (7267.T), "	" (RENA.PA) and Peugeot (PEUP.PA) have all said they are delaying the restart of production.
Tesla (TSLA.O), which started delivering cars built at its $2 billion plant in Shanghai last month, restarted production in Shanghai on Monday with local government help.
Those operating plants outside Hubei province such as "	 (VOWG_p.	620fa71dda65adfed100f813
Tesla	General	"
"	" (TSLA.O), which started delivering cars built at its $2 billion plant in Shanghai last month, restarted production in Shanghai on Monday with local government help.
Those operating plants outside Hubei province such as Volkswagen (VOWG_p.DE) and "	GM.N) have said they will keep some factories idled for an extra one or more weeks.	620fa71dda65adfed100f813
Tesla	Volkswagen	"
"	" (TSLA.O), which started delivering cars built at its $2 billion plant in Shanghai last month, restarted production in Shanghai on Monday with local government help.
Those operating plants outside Hubei province such as "	 (VOWG_p.	620fa71dda65adfed100f813
Volkswagen	General	"
Those operating plants outside Hubei province such as "	 (VOWG_p.DE) and 	GM.N) have said they will keep some factories idled for an extra one or more weeks.	620fa71dda65adfed100f813
Honda	General	"
In Hubei province where the outbreak began and a major car manufacturing hub responsible for nearly 9% of China's output, Dongfeng Motor Group Co Ltd (0489.HK) and its partners "	" (7267.T), Renault (RENA.PA) and Peugeot (PEUP.PA) have all said they are delaying the restart of production.
Tesla (TSLA.O), which started delivering cars built at its $2 billion plant in Shanghai last month, restarted production in Shanghai on Monday with local government help.
Those operating plants outside Hubei province such as Volkswagen (VOWG_p.DE) and "	GM.N) have said they will keep some factories idled for an extra one or more weeks.	620fa71dda65adfed100f813
Honda	Renault	"
In Hubei province where the outbreak began and a major car manufacturing hub responsible for nearly 9% of China's output, Dongfeng Motor Group Co Ltd (0489.HK) and its partners "	 (7267.T), 	 (RENA.PA) and Peugeot (PEUP.PA) have all said they are delaying the restart of production.	620fa71dda65adfed100f813
Peugeot	General	"
In Hubei province where the outbreak began and a major car manufacturing hub responsible for nearly 9% of China's output, Dongfeng Motor Group Co Ltd (0489.HK) and its partners Honda (7267.T), Renault (RENA.PA) and "	" (PEUP.PA) have all said they are delaying the restart of production.
Tesla (TSLA.O), which started delivering cars built at its $2 billion plant in Shanghai last month, restarted production in Shanghai on Monday with local government help.
Those operating plants outside Hubei province such as Volkswagen (VOWG_p.DE) and "	GM.N) have said they will keep some factories idled for an extra one or more weeks.	620fa71dda65adfed100f813
Tesla	General	"
"	" (TSLA.O), which started delivering cars built at its $2 billion plant in Shanghai last month, restarted production in Shanghai on Monday with local government help.
Those operating plants outside Hubei province such as Volkswagen (VOWG_p.DE) and "	GM.N) have said they will keep some factories idled for an extra one or more weeks.	620fa71dda65adfed100f813
Volkswagen	General	"
Those operating plants outside Hubei province such as "	 (VOWG_p.DE) and 	GM.N) have said they will keep some factories idled for an extra one or more weeks.	620fa71dda65adfed100f813
Renault	General	"
In Hubei province where the outbreak began and a major car manufacturing hub responsible for nearly 9% of China's output, Dongfeng Motor Group Co Ltd (0489.HK) and its partners Honda (7267.T), "	" (RENA.PA) and Peugeot (PEUP.PA) have all said they are delaying the restart of production.
Tesla (TSLA.O), which started delivering cars built at its $2 billion plant in Shanghai last month, restarted production in Shanghai on Monday with local government help.
Those operating plants outside Hubei province such as Volkswagen (VOWG_p.DE) and "	GM.N) have said they will keep some factories idled for an extra one or more weeks.	620fa71dda65adfed100f813
Peugeot	General	"
In Hubei province where the outbreak began and a major car manufacturing hub responsible for nearly 9% of China's output, Dongfeng Motor Group Co Ltd (0489.HK) and its partners Honda (7267.T), Renault (RENA.PA) and "	" (PEUP.PA) have all said they are delaying the restart of production.
Tesla (TSLA.O), which started delivering cars built at its $2 billion plant in Shanghai last month, restarted production in Shanghai on Monday with local government help.
Those operating plants outside Hubei province such as Volkswagen (VOWG_p.DE) and "	GM.N) have said they will keep some factories idled for an extra one or more weeks.	620fa71dda65adfed100f813
SoftBank	Sprint	TOKYO, Feb 12 (Reuters) - Japan's stock benchmark Nikkei rose on Wednesday as index heavyweight 	 surged after a U.S. federal judge approved a merger between its U.S. wireless unit 	 and T-Mobile.	620fa71fda65adfed100f83a
Sprint	SoftBank	TOKYO, Feb 12 (Reuters) - Japan's stock benchmark Nikkei rose on Wednesday as index heavyweight SoftBank surged after a U.S. federal judge approved a merger between its U.S. wireless unit 	" and T-Mobile.
The benchmark Nikkei average was up 0.5% at 23,813.52 by the midday break, while the broader Topix fell 0.1% to 1,717.42.
"	, the country's third-biggest company by market value, jumped 13.7% and was the most-traded stock on the main board after a U.S. judge approved a merger between T-Mobile and Sprint, whose majority owner is SoftBank.	620fa71fda65adfed100f83a
SoftBank	Sprint	"
"	, the country's third-biggest company by market value, jumped 13.7% and was the most-traded stock on the main board after a U.S. judge approved a merger between T-Mobile and 	, whose majority owner is SoftBank.	620fa71fda65adfed100f83a
Sprint	SoftBank	"
SoftBank Group, the country's third-biggest company by market value, jumped 13.7% and was the most-traded stock on the main board after a U.S. judge approved a merger between T-Mobile and "	, whose majority owner is 	.	620fa71fda65adfed100f83a
Sprint	T-Mobile	TOKYO, Feb 12 (Reuters) - Japan's stock benchmark Nikkei rose on Wednesday as index heavyweight SoftBank surged after a U.S. federal judge approved a merger between its U.S. wireless unit 	 and 	.	620fa71fda65adfed100f83a
T-Mobile	Sprint	"
SoftBank Group, the country's third-biggest company by market value, jumped 13.7% and was the most-traded stock on the main board after a U.S. judge approved a merger between "	 and 	, whose majority owner is SoftBank.	620fa71fda65adfed100f83a
Sprint	T-Mobile	TOKYO, Feb 12 (Reuters) - Japan's stock benchmark Nikkei rose on Wednesday as index heavyweight SoftBank surged after a U.S. federal judge approved a merger between its U.S. wireless unit 	 and 	.	620fa71fda65adfed100f83a
T-Mobile	Sprint	"
SoftBank Group, the country's third-biggest company by market value, jumped 13.7% and was the most-traded stock on the main board after a U.S. judge approved a merger between "	 and 	, whose majority owner is SoftBank.	620fa71fda65adfed100f83a
SoftBank	Sprint	TOKYO, Feb 12 (Reuters) - Japan's benchmark stock index Nikkei advanced on Wednesday, as heavyweight 	 soared after a U.S. federal judge approved a merger between its U.S. wireless unit 	 and T-Mobile.	620fa71fda65adfed100f83b
Sprint	SoftBank	TOKYO, Feb 12 (Reuters) - Japan's benchmark stock index Nikkei advanced on Wednesday, as heavyweight SoftBank soared after a U.S. federal judge approved a merger between its U.S. wireless unit 	" and T-Mobile.
The Nikkei share average closed 0.74% higher at 23,861.21, while the broader Topix slipped 0.04% to 1,718.92.
"	 jumped 11.9% to become the country's second-biggest company by market value after a U.S. federal judge rejected an antitrust challenge to the proposed takeover of SoftBank's subsidiary Sprint by T-Mobile.	620fa71fda65adfed100f83b
SoftBank	Sprint	"
SoftBank Group jumped 11.9% to become the country's second-biggest company by market value after a U.S. federal judge rejected an antitrust challenge to the proposed takeover of "	's subsidiary 	 by T-Mobile.	620fa71fda65adfed100f83b
Sprint	SoftBank	“This is obviously great news for 	... It is better news for 	,” analyst Kirk Boodry at Redex Holdings wrote in a note on the Smartkarma platform.	620fa71fda65adfed100f83b
Sprint	T-Mobile	TOKYO, Feb 12 (Reuters) - Japan's benchmark stock index Nikkei advanced on Wednesday, as heavyweight SoftBank soared after a U.S. federal judge approved a merger between its U.S. wireless unit 	 and 	.	620fa71fda65adfed100f83b
T-Mobile	Sprint	TOKYO, Feb 12 (Reuters) - Japan's benchmark stock index Nikkei advanced on Wednesday, as heavyweight SoftBank soared after a U.S. federal judge approved a merger between its U.S. wireless unit Sprint and 	".
The Nikkei share average closed 0.74% higher at 23,861.21, while the broader Topix slipped 0.04% to 1,718.92.
SoftBank Group jumped 11.9% to become the country's second-biggest company by market value after a U.S. federal judge rejected an antitrust challenge to the proposed takeover of SoftBank's subsidiary "	 by T-Mobile.	620fa71fda65adfed100f83b
Sprint	T-Mobile	"
SoftBank Group jumped 11.9% to become the country's second-biggest company by market value after a U.S. federal judge rejected an antitrust challenge to the proposed takeover of SoftBank's subsidiary "	 by 	.	620fa71fda65adfed100f83b
T-Mobile	Sprint	"
SoftBank Group jumped 11.9% to become the country's second-biggest company by market value after a U.S. federal judge rejected an antitrust challenge to the proposed takeover of SoftBank's subsidiary Sprint by "	".
“This is obviously great news for "	...	620fa71fda65adfed100f83b
Sprint	T-Mobile	TOKYO, Feb 12 (Reuters) - Japan's benchmark stock index Nikkei advanced on Wednesday, as heavyweight SoftBank soared after a U.S. federal judge approved a merger between its U.S. wireless unit 	 and 	.	620fa71fda65adfed100f83b
T-Mobile	Sprint	TOKYO, Feb 12 (Reuters) - Japan's benchmark stock index Nikkei advanced on Wednesday, as heavyweight SoftBank soared after a U.S. federal judge approved a merger between its U.S. wireless unit Sprint and 	".
The Nikkei share average closed 0.74% higher at 23,861.21, while the broader Topix slipped 0.04% to 1,718.92.
SoftBank Group jumped 11.9% to become the country's second-biggest company by market value after a U.S. federal judge rejected an antitrust challenge to the proposed takeover of SoftBank's subsidiary "	 by T-Mobile.	620fa71fda65adfed100f83b
Sprint	T-Mobile	"
SoftBank Group jumped 11.9% to become the country's second-biggest company by market value after a U.S. federal judge rejected an antitrust challenge to the proposed takeover of SoftBank's subsidiary "	 by 	.	620fa71fda65adfed100f83b
T-Mobile	Sprint	"
SoftBank Group jumped 11.9% to become the country's second-biggest company by market value after a U.S. federal judge rejected an antitrust challenge to the proposed takeover of SoftBank's subsidiary Sprint by "	".
“This is obviously great news for "	...	620fa71fda65adfed100f83b
Cisco	Sprint	"
"	, Facebook Inc, AT&T and 	 became the latest U.S. technology companies to pull out of an international telecoms conference in Barcelona because of the outbreak.	620fa720da65adfed100f84f
Suzuki	Maruti Suzuki India	"
"	 does not produce or sell any cars in China, but procures some components there for its plants in India, where it controls around half of the passenger vehicle market via its local unit 	 (MRTI.NS).	620fa720da65adfed100f851
Maruti Suzuki India	Suzuki	"
Suzuki does not produce or sell any cars in China, but procures some components there for its plants in India, where it controls around half of the passenger vehicle market via its local unit "	" (MRTI.NS).
Its global car production has not been impacted yet, but "	 is looking at the possibility of procuring “made in China” car parts from other regions if it cannot access parts due to ongoing stoppages, managing officer Masahiko Nagao told reporters.	620fa720da65adfed100f851
Toyota	Suzuki	"
Its bigger rival "	" (7203.T) said on Friday production at all of its China plants would remain suspended through Feb. 16, while Fiat Chrysler Automobiles NV (FCHA.MI) said a European plant could close within two weeks if Chinese parts suppliers cannot get back to work soon.
"	 does not produce or sell any cars in China, but procures some components there for its plants in India, where it controls around half of the passenger vehicle market via its local unit Maruti Suzuki India (MRTI.NS).	620fa720da65adfed100f851
Toyota	Maruti Suzuki India	"
Its bigger rival "	" (7203.T) said on Friday production at all of its China plants would remain suspended through Feb. 16, while Fiat Chrysler Automobiles NV (FCHA.MI) said a European plant could close within two weeks if Chinese parts suppliers cannot get back to work soon.
Suzuki does not produce or sell any cars in China, but procures some components there for its plants in India, where it controls around half of the passenger vehicle market via its local unit "	 (MRTI.NS).	620fa720da65adfed100f851
Suzuki	Maruti Suzuki India	"
"	" said it was looking at the possibility of procuring “made in China” car parts from other regions if it cannot access parts due to ongoing stoppages.
The Japanese automaker does not produce or sell any cars in China, but procures some components there for its plants in India, where it controls around half of the passenger vehicle market via its local unit "	 (MRTI.NS).	620fa721da65adfed100f852
Apple	Walmart	"
*"	 said on Saturday it would close all its stores and offices in China until Feb. 9. 	, Sweden's IKEA and other companies have restricted travel and operations.	620fa722da65adfed100f863
Walmart	FedEx	The effort, included companies such as insurer Chubb, retailer 	 (WMT.N) and 	 (FDX.N), which donated delivery services.	620fa722da65adfed100f86d
